Brand,Model,Image,Price,RAM,Size,SSD,Colours,Operating system,Hard disk,Model Number,Processor,Graphic card,Dedicated Graphics,Finger Print Sensor,Resolution,Wi-Fi standards supported,Weight(kg),Dimensions(mm),Series,Touch Screen,Base Clock Speed,Graphics Processor,Product,Dedicated Graphics,HDMI Port,Battery life,Dedicated Graphic Memory Type,Expandable RAM up to (GB)
Micromax,In Note 1,https://i.gadgets360cdn.com/products/large/micromax-in-note-1-370x800-1604390182.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 10,999",4GB,,,"Green, White",Android 10,,,2GHz octa-core,,,,1080x2400 pixels,802.11 a/b/g/n/ac,,165.24 x 76.95 x 8.99,,,,,"Micromax In Note 1 (4GB RAM, 64GB) - White",,,,,
HP,Pavilion 15-ab205tx,https://i.gadgets360cdn.com/products/laptops/large/1525204288_635_pavilion-15-ab205tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 49,790",4GB,15.60-inch,No,Natural Silver,Windows 10 Home,1TB,15-ab205tx,Intel Core i5 5th Gen 5200U,AMD Radeon R5 M335,Yes,No,1920x1080 pixels,802.11 ac,2.9,384.50 x 261.10 x 25.20,Pavilion,No,2.2 GHz,AMD Radeon R5 M335,"HP Pavilion 15-AB205TX Laptop (Windows 10, 4GB RAM, 1000GB HDD, Intel Core i5, Natural Silver)",Yes,Standard,4,DDR3,16GB
HP,Pavilion 15-AU626TX,https://i.gadgets360cdn.com/products/laptops/large/1546453021_635_hp_pavilion-15-au626tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 69,980",16GB,15.60-inch,No,Silver,Windows 10,2TB,15-AU626TX,Intel Core i5 7th Gen 7200U,Nvidia GeForce 940MX,Yes,No,1366x768 pixels,802.11 ac,2.04,383.00 x 243.00 x 22.50,Pavilion,No,2.5 GHz,Nvidia GeForce 940MX,"HP Pavilion 15-AU626TX Laptop (Windows 10, 16GB RAM, 2000GB HDD, Intel Core i5, Natural Silver)",Yes,Standard,5,DDR3,16GB
Asus,R558UQ-DM539D,https://i.gadgets360cdn.com/products/laptops/large/1525207642_635_r558uq-dm539d.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 35,490",4GB,15.60-inch,No,Glossy Dark Brown,DOS,1TB,R558UQ-DM539D,Intel Core i5 7th Gen 7200U,Nvidia GeForce 940MX,Yes,No,1920x1080 pixels,802.11 ac,2.3,382.00 x 256.00 x 25.50,R Series,No,2.5 GHz,Nvidia GeForce 940MX,"Asus R558UQ-DM539D Laptop (DOS, 4GB RAM, 1000GB HDD, Intel Core i5, Black, 15.6 inch)",Yes,Standard,4.5,GDDR3,12GB
HP,240 G4,https://i.gadgets360cdn.com/products/laptops/large/1525204305_635_240-g4.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 27,500",4GB,14.00-inch,No,Black,DOS,500GB,240 G4,Intel Core i3 5th Gen 5010U,AMD Radeon R5 M330,Yes,No,1366x768 pixels,802.11 b/g/n,1.9,345.40 x 2415.00 x 23.90,,No,2.1 GHz,AMD Radeon R5 M330,"HP 240 G4 Laptop (DOS, 4GB RAM, 500GB HDD, Intel Core i3, Black, 14 inch)",Yes,Standard,3,DDR3,8GB
Xiaomi,Redmi Note 9 Pro 5G,https://i.gadgets360cdn.com/products/large/redmi-note-9-pro-5G-320x800-1606890534.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,,6GB,,,"Black, Blue, Lake and Autumn",Android 10,,,1.8GHz octa-core,,,,1080x2400 pixels,802.11 a/b/g,,165.38 x 76.80 x 9.00,,,,,,,,,,
Acer,Aspire E E1-572G,https://i.gadgets360cdn.com/products/laptops/large/1525201889_635_aspire-e-e1-572g.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 59,500",4GB,15.60-inch,No,Black,Linux,1TB,E1-572G,Intel Core i7 4th Gen 4500U,AMD Radeon 8750M,Yes,,1366x768 pixels,802.11 b/g/n,2.4,381.60 x 256.00 x 25.30,Aspire E,No,1.8 GHz,AMD Radeon 8750M,"Acer Aspire E E1-572G Laptop (Windows 8.1, 8GB RAM, 1000GB HDD, Intel Core i7, Black, 15.6 inch)",Yes,Yes,4,DDR3,8GB
Dell,Inspiron 3000 3543,https://i.gadgets360cdn.com/products/laptops/large/1525204181_635_inspiron-3000-3543.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 28,099",4GB,15.60-inch,No,Black,Windows 10 Home,1TB,3543,Intel Core i5 5th Gen 5200U,Nvidia GeForce 820M,Yes,,1366x768 pixels,802.11 b/g/n,2.5,384.00 x 267.00 x 26.60,Inspiron 3000,Yes,2.2 GHz,Nvidia GeForce 820M,"Dell Inspiron 3000 3543 Laptop (Linux, 4GB RAM, 1000GB HDD, Intel Core i3, Black, 15.6 inch)",Yes,Yes,4,DDR3L,8GB
Asus,X550LC-XX119H,https://i.gadgets360cdn.com/products/laptops/large/1525202003_635_x550lc-xx119h.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 46,000",4GB,15.60-inch,No,Dark Grey,Windows 8,750GB,X550LC-XX119H,Intel Core i5 4th Gen 4200U,Nvidia GeForce 720M,Yes,,1366x768 pixels,802.11 b/g/n,2.3,380.00 x 251.00 x 31.70,X Series,No,1.6 GHz,Nvidia GeForce 720M,"Asus X550LC-XX119H Laptop (Windows 8, 4GB RAM, 750GB HDD, Intel Core i5, Grey, 15.6 inch)",Yes,Standard,,DDR3,8GB
HP,Pavilion 15-AU020TX,https://i.gadgets360cdn.com/products/laptops/large/1546454284_635_hp_pavilion-15-au020tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 72,500",4GB,15.60-inch,No,Silver,Windows 10,1TB,15-AU020TX,Intel Core i7 6th Gen 6500U,Nvidia GeForce 940MX,Yes,No,1920x1080 pixels,802.11 n/ac,2,383.00 x 243.00 x 225.00,Pavilion,No,2.5 GHz,Nvidia GeForce 940MX,"HP Pavilion 15-AU020TX Laptop (Windows 10, 4GB RAM, 1000GB HDD, Intel Core i7, Gold)",Yes,Standard,3,DDR3,16GB
Asus,G551VW-FI242T,https://i.gadgets360cdn.com/products/laptops/large/1525205917_635_g551vw-fi242t.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 98,500",16GB,15.60-inch,No,Black,Windows 10 Home,1TB,G551VW-FI242T,Intel Core i7 6th Gen 6700HQ,Nvidia GeForce GTX 960M,Yes,,3840x2160 pixels,802.11 ac,2.7,382.00 x 255.00 x 16.00,G Series,No,2.6 GHz,Nvidia GeForce GTX 960M,"Asus Rog G551VW-FI242T Laptop (Windows 10, 16GB RAM, 1000GB HDD, Intel Core i7, Black, 15.6 inch)",Yes,Standard,,GDDR5,16GB
HP,Pavilion 15-au620tx,https://i.gadgets360cdn.com/products/laptops/large/1525207812_635_pavilion-15-au620tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 56,950",8GB,15.60-inch,No,Natural Silver,Windows 10 Home,1TB,15-au620tx,Intel Core i5 7th Gen 7200U,Nvidia GeForce,Yes,,1366x768 pixels,802.11 ac,2.04,383.00 x 243.00 x 22.50,Pavilion,No,2.5 GHz,Nvidia GeForce,"HP Pavilion 15-AU620TX Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i5, Natural Silver, 15.6 inch)",Yes,Standard,9,DDR3,16GB
HP,Pavilion 15-au628tx,https://i.gadgets360cdn.com/products/laptops/large/1525207818_635_pavilion-15-au628tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 80,250",8GB,15.60-inch,No,Natural Silver,Windows 10 Home,1TB,15-au628tx,Intel Core i7 7th Gen 7500U,Nvidia GeForce 940MX,Yes,,1920x1080 pixels,802.11 ac,2.04,383.00 x 243.00 x 22.50,Pavilion,No,2.7 GHz,Nvidia GeForce 940MX,"HP Pavilion 15-AU628TX Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i7, Natural Silver, 15.6 inch)",Yes,Standard,9,DDR3,16GB
HP,15-ay006tx,https://i.gadgets360cdn.com/products/laptops/large/1525204399_635_15-ay006tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 35,799",4GB,15.60-inch,No,Silver,DOS,500GB,15-ay006tx,Intel Core i3 5th Gen 5005U,AMD Radeon R5 M430,Yes,,1366x768 pixels,802.11 b/g/n,2.19,384.30 x 254.60 x 24.30,,No,2 GHz,AMD Radeon R5 M430,"HP 15-AY006TX Laptop (DOS, 8GB RAM, 1000GB HDD, Intel Core i3, Silver, 15.6 inch)",Yes,Standard,6,DDR3,8GB
Xiaomi,Mi 10i,https://gadgets.ndtv.com/static/mobile/images/upcoming.jpg?downsize=59:19&amp;output-format=webp,,6GB,,,,Android 10,,,1.8GHz octa-core,,,,1080x2400 pixels,802.11 a/b/g/n/ac/Yes,,165.38 x 76.80 x 9.00,,,,,,,,,,
Lenovo,G50 45,https://i.gadgets360cdn.com/products/laptops/large/1525206045_635_g50-45.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 17,990",8GB,15.60-inch,No,Silver,Windows 8.1,1TB,G50 45,AMD APU Quad Core A8 6th Gen A8 6410,AMD R5 M230,Yes,,1366x768 pixels,802.11 b/g/n/ac,2.5,384.00 x 265.00 x 25.00,G Series,No,2 GHz,AMD R5 M230,"Lenovo G50 45 Laptop (DOS, 2GB RAM, 500GB HDD, AMD Black, 15.6 inch)",Yes,Yes,4,DDR3,16GB
Samsung,Galaxy S21+,https://gadgets.ndtv.com/static/mobile/images/upcoming.jpg?downsize=59:19&amp;output-format=webp,,8GB,,,,Android 11,,,2.4GHz octa-core (3x2.8GHz + 4x2.4GHz + 1x2.9GHz),,,,1080x2400 pixels,802.11 a/b/g/n/ac/Yes,,161.40 x 75.60 x 7.80,,,,,,,,,,
HP,Pavilion 15-ba021ax,https://i.gadgets360cdn.com/products/laptops/large/1525207787_635_pavilion-15-ba021ax.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 32,490",4GB,15.60-inch,No,Silver,DOS,1TB,15-ba021ax,AMD APU Quad Core A10 7th Gen A10 9600P,Intel Integrated Graphics / Nvidia GeForce 940MX,No,No,1366x768 pixels,802.11 ac,2.19,384.30 x 254.60 x 24.30,Pavilion,No,2.4 GHz,Intel Integrated Graphics / Nvidia GeForce 940MX,"HP 15-BA021AX Laptop (DOS, 4GB RAM, 1000GB HDD, AMD Silver, 15.6 inch)",No,Standard,4,,16GB
HP,Pavilion 15-au009tx,https://i.gadgets360cdn.com/products/laptops/large/1525206219_635_pavilion-15-au009tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 72,249",8GB,15.60-inch,No,Turbo Silver,Windows 10 Home,1TB,15-au009tx,Intel Core i7 6th Gen 6500U,Nvidia GeForce 940MX,Yes,,1920x1080 pixels,802.11 ac,2,383.00 x 243.00 x 22.50,Pavilion,No,2.5 GHz,Nvidia GeForce 940MX,"HP Pavilion 15-AU009TX Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i7, Silver)",Yes,Standard,9,DDR3,8GB
MSI,PS63 Modern 8RC,https://i.gadgets360cdn.com/products/large/1552655828_635_MSI_PS63_modern.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 102,000",16GB,15.60-inch,512GB,Carbon Gray,Windows 10,,PS63 Modern 8RC,Intel Core i7 8th Gen i7-8565U,Nvidia GeForce GTX 1050,Yes,Yes,1920x1080 pixels,802.11 a/b/g/n/ac,1.6,233.70 x 356.80 x 15.90,Prestige,No,1.8 GHz,Nvidia GeForce GTX 1050,"MSI PS63 Modern 8RC-066IN 2019 Laptop (Windows 10 Home, 4GB RAM, 512GB SDD, Intel Core i7, Deep Carbon Grey, 15.6 Inches)",Yes,Standard,16,GDDR5,
Acer,TravelMate P2 TMP259-G2-MG,https://i.gadgets360cdn.com/products/laptops/large/1525207612_635_travelmate-p2-tmp259-g2-mg.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 42,900",8GB,15.60-inch,No,Black,Windows 10 Professional,1TB,TMP259-G2-MG,Intel Core i5 7th Gen 7200U,Nvidia GeForce 940MX,Yes,,1366x768 pixels,802.11 b/g/n/ac,2.2,381.60 x 259.00 x 30.20,TravelMate P2,No,2.5 GHz,Nvidia GeForce 940MX,"Acer Travel Mate TMP259-G2-MG Laptop (Linux, 8GB RAM, 1000GB HDD, Intel Core i5, Black)",Yes,Yes,8,GDDR5,32GB
HP,Pavilion 15-ab522tx,https://i.gadgets360cdn.com/products/laptops/large/1525206210_635_pavilion-15-ab522tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 59,190",8GB,15.60-inch,No,Natural Silver,Windows 10 Home,1TB,15-ab522tx,Intel Core i5 6th Gen 6200U,Nvidia GeForce 940M,Yes,No,1366x768 pixels,802.11 b/g/n,2.09,384.50 x 2611.00 x 25.20,Pavilion,No,2.3 GHz,Nvidia GeForce 940M,"HP Pavilion 15-AB522TX Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i5, Silver)",Yes,Standard,4.5,DDR3L,8GB
HP,Pavilion 15-ac179tx,https://i.gadgets360cdn.com/products/laptops/large/1525206224_635_pavilion-15-ac179tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 43,690",4GB,15.60-inch,No,Turbo Silver,DOS,1TB,15-ac179tx,Intel Core i5 6th Gen I5 6200U,Nvidia GeForce 820M,Yes,No,1366x768 pixels,802.11 ac,2.19,384.30 x 254.60 x 24.30,Pavilion,No,2.2 GHz,Nvidia GeForce 820M,"HP Pavilion 15-AC179TX Laptop (DOS, 4GB RAM, 1000GB HDD, Intel Core i5, Silver)",Yes,Standard,5,DDR3,8GB
Asus,R558UQ-DM540D,https://i.gadgets360cdn.com/products/laptops/large/1525207643_635_r558uq-dm540d.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 40,999",4GB,15.60-inch,No,Gold,DOS,1TB,R558UQ-DM540D,Intel Core i5 7th Gen 7200U,Nvidia GeForce 940MX,Yes,,1080x1920 pixels,802.11 ac,2.1,256.00 x 382.00 x 26.00,R Series,No,2.5 GHz,Nvidia GeForce 940MX,"Asus R558UQ-DM540D Laptop (DOS, 4GB RAM, 1000GB HDD, Intel Core i5, Matte Golden, 15.6 inch)",Yes,Standard,4.5,GDDR3,12GB
Asus,R558UQ-DM701D,https://i.gadgets360cdn.com/products/laptops/large/1525207665_635_r558uq-dm701d.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 51,990",8GB,15.60-inch,No,Black,DOS,1TB,R558UQ-DM701D,Intel Core i7 7th Gen 7500U,Intel Integrated HD Graphics 5500,No,No,1920x1080 pixels,802.11 b/g/n,2.3,382.00 x 256.00 x 25.50,R Series,No,2.7 GHz,Intel Integrated HD Graphics 5500,"Asus R558UQ-DM701D Laptop (DOS, 8GB RAM, 1000GB HDD, Intel Core i7, Black, 15.6 inch)",No,Standard,4.5,,12GB
Asus,R558UF-DM175D,https://i.gadgets360cdn.com/products/laptops/large/1525205925_635_r558uf-dm175d.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 44,390",4GB,15.60-inch,No,Gold,Windows 10 Home,2TB,R558UF-DM175D,Intel Core i5 6th Gen 6200U,Nvidia GeForce 930M,Yes,,1920x1080 pixels,802.11 b/g/n,2.3,382.00 x 258.00 x 25.50,R Series,No,2.8 GHz,Nvidia GeForce 930M,"Asus R558UF-DM175D Laptop (DOS, 4GB RAM, 1000GB HDD, Intel Core i5, Gold, 15.6 inch)",Yes,Standard,4.5,DDR3,12GB
HP,14-ac153tx,https://i.gadgets360cdn.com/products/laptops/large/1525204308_635_14-ac153tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 35,999",4GB,14.00-inch,No,Turbo Silver,Windows 10 Home,1TB,14-ac153tx,Intel Core i3 5th Gen 6100U,AMD Radeon R5 M330,Yes,,1366x768 pixels,802.11 b/g/n,1.94,345.40 x 241.50 x 23.90,,No,2 GHz,AMD Radeon R5 M330,"HP 14-AC153TX Laptop (Windows 10, 4GB RAM, 1000GB HDD, Intel Core i3, Silver, 14 inch)",Yes,Standard,4,DDR3,8GB
HP,15-an003tx,https://i.gadgets360cdn.com/products/laptops/large/1525206239_635_15-an003tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 63,899",8GB,15.60-inch,No,Black,Windows 10 Home,1TB,15-an003tx,Intel Core i5 6th Gen 6200U,Nvidia GeForce 940M,Yes,,1920x1080 pixels,802.11 b/g/n/ac,2.09,384.50 x 261.10 x 25.20,,No,2.3 GHz,Nvidia GeForce 940M,"HP Star Wars 15-AN003TX Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i5, Black)",Yes,Standard,4.5,DDR3L,16GB
HP,15-ay507tx,https://i.gadgets360cdn.com/products/laptops/large/1525206312_635_15-ay507tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 47,500",8GB,15.60-inch,No,Turbo Silver,Windows 10 Home,1TB,15-ay507tx,Intel Core i5 6th Gen 6200U,AMD Radeon R5 M430,Yes,,1366x768 pixels,802.11 b/g/n,2.19,384.30 x 254.60 x 24.30,,No,2.3 GHz,AMD Radeon R5 M430,"HP 15-AY507TX Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i5, Silver, 15.6 inch)",Yes,Standard,9,DDR3,16GB
HP,Pavilion 15-AB027TX,https://i.gadgets360cdn.com/products/laptops/large/1546455290_635_hp_pavilion-15-ab027tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 44,999",4GB,15.60-inch,No,Silver,Windows 8.1,1TB,15-AB027TX,Intel Core i3 5th Gen 5010U,AMD Radeon R7 M360,Yes,No,1920x1080 pixels,802.11 b/g/n,2.29,384.56 x 261.11 x 25.15,Pavilion,No,2.1 GHz,AMD Radeon R7 M360,"HP Pavilion 15-AB027TX Laptop (Windows 8.1, 4GB RAM, 1000GB HDD, Intel Core i3, Natural Silver, 15.6 inch)",Yes,Standard,,DDR3,16GB
HP,Pavilion 15-ab032tx,https://i.gadgets360cdn.com/products/laptops/large/1525204301_635_pavilion-15-ab032tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 53,800",8GB,15.60-inch,No,Silver,Windows 8.1,1TB,15-ab032tx,Intel Core i5 5th Gen 5200U,Nvidia GeForce 940M,Yes,,1920x1080 pixels,802.11 b/g/n,2.29,384.50 x 261.10 x 25.20,Pavilion,No,2.2 GHz,Nvidia GeForce 940M,"HP 15-AB032TX Laptop (Windows 8.1, 8GB RAM, 1000GB HDD, Intel Core i5, Silver, 15.6 inch)",Yes,Standard,,DDR3L,16GB
HP,Pavilion 15-au084tx,https://i.gadgets360cdn.com/products/laptops/large/1525206222_635_pavilion-15-au084tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 58,174",4GB,15.60-inch,No,Turbo Silver,Windows 10 Home,1TB,15-au084tx,Intel Core i5 6th Gen 6200U,Nvidia GeForce 940MX,Yes,,1920x1080 pixels,802.11 ac,2,383.00 x 243.00 x 22.50,Pavilion,No,2.3 GHz,Nvidia GeForce 940MX,"HP Pavilion 15-AU084TX Laptop (Windows 10, 4GB RAM, 1000GB HDD, Intel Core i5, Silver)",Yes,Standard,,DDR3,16GB
